eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Wanda Maximoff (Earth-616);3.3396;0.4663;0.3803;0;0.7207;
Nicholas Fury (Earth-616);0.1355;15.9193;0.0507;0;0.2325;
Janet van Dyne (Earth-616);1.9661;0.4042;0.0436;0;0.535;
Jean Grey (Earth-616);13.4016;1.7895;0.0957;0;1.4747;
Natalia Romanova (Earth-616);29.9545;0.203;2.2457;0;0.1056;
Kurt Wagner (Earth-616);3.3072;0.7094;30.0563;42.6777;4.5592;
Vision (Earth-616);3.3072;0.7094;30.0563;42.6777;4.5592;
May Reilly (Earth-616);1.7502;1.6375;0.393;0;1.0048;
Katherine Pryde (Earth-616);0.0192;0.4075;3.4827;0;12.3122;
Carol Danvers (Earth-616);0.2714;0.8171;0.3895;0;0.0031;
Jennifer Walters (Earth-616);3.3396;0.4663;0.3803;0;0.7207;
Emma Frost (Earth-616);0.2468;2.3941;0.1733;0;0.0055;
Frank Castle (Earth-616);0.274;1.7386;1.1547;0;1.7775;
Luke Cage (Earth-616);0.2445;4.8996;0.2013;0;0.5136;
Rogue (Anna Marie) (Earth-616);5.0874;0.1768;2.0968;0;2.5175;

cos2
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
Batman (Bruce Wayne);0.2578;0.0975;0.0333;0;0.0652;
Superman (Clark Kent);0.2578;0.0975;0.0333;0;0.0652;
Green Lantern (Hal Jordan);0.1466;0.0485;0.0103;0;0.2651;
James Gordon (New Earth);0.0374;0.0053;0.0259;0;0.0168;
Richard Grayson (New Earth);0.2578;0.0975;0.0333;0;0.0652;
Wonder Woman (Diana Prince);4e-04;0.1005;0.1456;0;0.0355;
Aquaman (Arthur Curry);0.0882;0.2443;0.1631;0;0.0083;
Timothy Drake (New Earth);0.2578;0.0975;0.0333;0;0.0652;
Dinah Laurel Lance (New Earth);0.0014;0.285;0.1277;0;0.0605;
Flash (Barry Allen);0.1814;0.2812;0.0282;0;0.096;
GenderTest;0.0116;0.322;0.0211;0;0.1912;
Alan Scott (New Earth);0.0173;0.2938;0.0295;0;0.004;
Barbara Gordon (New Earth);0.0773;0.1521;0.0023;0;0.1112;
Jason Garrick (New Earth);0.0825;0.0038;0.0351;0;0.1055;
Lois Lane (New Earth);4e-04;0.1005;0.1456;0;0.0355;
Alfred Pennyworth (New Earth);0.1455;0.0646;0.1901;0;4e-04;
Carter Hall (New Earth);0.1755;0.0184;0.0012;0;0.2776;
Spider-Man (Peter Parker);0.0187;0.0262;0.1039;0;0.2429;
Captain America (Steven Rogers);0.0056;0.0017;0.0213;0;0.008;
Wolverine (James \"Logan\" Howlett);0.0302;0.1648;0.1;0;0.1361;
Iron Man (Anthony \"Tony\" Stark);0.054;0;0.0909;0;0.084;
Thor (Thor Odinson);0.0032;0.0124;0.0424;0;0.059;
Benjamin Grimm (Earth-616);0.0248;0.0079;0.0962;0.2378;0.0852;
Reed Richards (Earth-616);0.0228;0.2801;0.005;0;0.0281;
Hulk (Robert Bruce Banner);0.0228;0.2801;0.005;0;0.0281;
Scott Summers (Earth-616);0.0186;0.5546;0.0017;0;2e-04;
Jonathan Storm (Earth-616);0.0206;0.0817;0.0735;0;0.0334;
Henry McCoy (Earth-616);0.0248;0.0079;0.0962;0.2378;0.0852;
Susan Storm (Earth-616);0.0464;0.1204;0.0524;0;4e-04;
Namor McKenzie (Earth-616);0.0412;0.3581;0.0104;0;0.0983;
Ororo Munroe (Earth-616);0.0177;0.009;0.0177;0;5e-04;
Clinton Barton (Earth-616);0.0206;0.0817;0.0735;0;0.0334;
Matthew Murdock (Earth-616);0.1088;0.0161;0;0;0.0205;
Stephen Strange (Earth-616);0.0083;0.0051;0.0128;0;0.0362;
Mary Jane Watson (Earth-616);0.5183;0.0272;0.0151;0;0.003;
John Jonah Jameson (Earth-616);0.0109;0.3433;0.0724;0;0.1548;
Robert Drake (Earth-616);0.0754;0.1838;0.0577;0;0.1243;
Henry Pym (Earth-616);0.0206;0.0817;0.0735;0;0.0334;
Charles Xavier (Earth-616);0.0063;0.0911;0.0264;0;0.2698;
Warren Worthington III (Earth-616);0.0206;0.0817;0.0735;0;0.0334;
Piotr Rasputin (Earth-616);0.15;0.0076;6e-04;0;2e-04;
